
category,filename,primary_subject,date,location,people,description,tags,status

cooking,food1.jpg,Shrimp Pasta,2024-01-15,Home Kitchen,Solo,Signature shrimp pasta with secret spice blend,pasta;seafood;signature,uploaded

cooking,food2.jpg,Salmon Bowl,2024-02-20,Home Kitchen,Solo,Secret-recipe salmon bowl with crispy skin,salmon;bowl;asian-fusion,uploaded

cooking,food3.jpg,Ghormeh Sabzi,2024-03-10,Home Kitchen,Solo,Traditional Persian stew - 6 hours of love,persian;stew;traditional,uploaded

hiking,hike1.jpg,Mount Whitney Summit,2024-08-15,California,Solo,First Whitney summit at sunrise,summit;whitney;sunrise,uploaded

hiking,hike2.jpg,GHMC Group Hike,2024-09-20,Santa Barbara,GHMC Members,First group hike I led,ghmc;group;leadership,uploaded

hiking,hike3.jpg,Hot Springs,2024-10-05,Local,Friends,Late night soak after hike,hotsprings;night;relaxation,uploaded

boxing,box1.jpg,Training Session,2024-05-10,Gym,Solo,Regular kickboxing training,kickboxing;training;cardio,uploaded

boxing,box2.jpg,Heavy Bag Work,2024-06-15,Gym,Solo,Working on power punches,boxing;heavybag;power,uploaded

